query,backend,latency_ms,recall_at_10
1,pgvector_exact,46.02,1.0
1,pgvector_hnsw,87.898,1.0
2,pgvector_exact,42.904,1.0
2,pgvector_hnsw,79.75,1.0
3,pgvector_exact,43.624,1.0
3,pgvector_hnsw,70.479,1.0
4,pgvector_exact,50.861,1.0
4,pgvector_hnsw,63.687,1.0
5,pgvector_exact,41.353,1.0
5,pgvector_hnsw,65.679,0.9
6,pgvector_exact,41.265,1.0
6,pgvector_hnsw,66.875,1.0
7,pgvector_exact,41.039,1.0
7,pgvector_hnsw,69.519,1.0
8,pgvector_exact,43.514,1.0
8,pgvector_hnsw,75.29,1.0
9,pgvector_exact,67.614,1.0
9,pgvector_hnsw,65.57,1.0
10,pgvector_exact,42.243,1.0
10,pgvector_hnsw,66.343,1.0
11,pgvector_exact,44.938,1.0
11,pgvector_hnsw,67.039,0.9
12,pgvector_exact,46.073,1.0
12,pgvector_hnsw,69.992,0.9
13,pgvector_exact,43.828,1.0
13,pgvector_hnsw,71.497,0.9
14,pgvector_exact,45.404,1.0
14,pgvector_hnsw,88.013,0.9
15,pgvector_exact,48.91,1.0
15,pgvector_hnsw,73.13,1.0
16,pgvector_exact,45.197,1.0
16,pgvector_hnsw,77.873,0.9
17,pgvector_exact,53.934,1.0
17,pgvector_hnsw,82.069,1.0
18,pgvector_exact,66.34,1.0
18,pgvector_hnsw,74.836,1.0
19,pgvector_exact,62.587,1.0
19,pgvector_hnsw,86.23,1.0
20,pgvector_exact,48.936,1.0
20,pgvector_hnsw,73.687,1.0
