query,backend,latency_ms,recall_at_10
1,legacy,702.9716000542976,1.0
1,pgvector_exact,51.842,1.0
1,pgvector_hnsw,29.711,0.8
2,legacy,859.4721999834292,1.0
2,pgvector_exact,35.77,1.0
2,pgvector_hnsw,38.171,0.9
3,legacy,825.7665999699384,1.0
3,pgvector_exact,54.869,1.0
3,pgvector_hnsw,32.754,0.9
4,legacy,1006.3276999862865,1.0
4,pgvector_exact,28.746,1.0
4,pgvector_hnsw,24.419,0.9
5,legacy,693.0819999543019,1.0
5,pgvector_exact,25.324,1.0
5,pgvector_hnsw,17.941,0.9
6,legacy,622.8511999943294,1.0
6,pgvector_exact,31.261,1.0
6,pgvector_hnsw,23.775,0.7
7,legacy,786.4385999855585,1.0
7,pgvector_exact,22.492,1.0
7,pgvector_hnsw,18.279,0.9
8,legacy,522.0262000220828,1.0
8,pgvector_exact,26.309,1.0
8,pgvector_hnsw,17.602,0.9
9,legacy,597.9272000258788,1.0
9,pgvector_exact,30.349,1.0
9,pgvector_hnsw,25.042,0.9
10,legacy,595.7272999803536,1.0
10,pgvector_exact,41.192,1.0
10,pgvector_hnsw,28.477,1.0
11,legacy,801.8183999811299,1.0
11,pgvector_exact,27.16,1.0
11,pgvector_hnsw,29.502,0.9
12,legacy,789.0761999879032,1.0
12,pgvector_exact,25.364,1.0
12,pgvector_hnsw,20.255,0.9
13,legacy,650.5991999874823,1.0
13,pgvector_exact,30.67,1.0
13,pgvector_hnsw,25.926,0.9
14,legacy,547.168800025247,1.0
14,pgvector_exact,20.349,1.0
14,pgvector_hnsw,16.582,0.8
15,legacy,557.834500039462,1.0
15,pgvector_exact,26.613,1.0
15,pgvector_hnsw,19.907,1.0
16,legacy,531.6899999743327,1.0
16,pgvector_exact,26.735,1.0
16,pgvector_hnsw,19.655,0.9
17,legacy,636.9763999828137,1.0
17,pgvector_exact,25.837,1.0
17,pgvector_hnsw,19.554,0.8
18,legacy,497.55399994319305,1.0
18,pgvector_exact,19.408,1.0
18,pgvector_hnsw,22.617,1.0
19,legacy,736.4930000039749,1.0
19,pgvector_exact,23.895,1.0
19,pgvector_hnsw,20.132,0.8
20,legacy,823.767299996689,1.0
20,pgvector_exact,28.25,1.0
20,pgvector_hnsw,21.113,1.0
