Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1787652353,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787652354,20,,Aggregated,0.000000,0.000000,210,350,350,350,380,430,430,430,430,430,430,20,0,210.0,269.45638224999584,167.33947600005195,432.9155919999721,628.0
1787652355,40,,Aggregated,0.000000,0.000000,200,320,350,350,380,390,430,430,430,430,430,40,0,200.0,240.78417345001526,77.737389000049,432.9155919999721,628.825
1787652356,60,,Aggregated,0.000000,0.000000,200,230,330,330,350,390,390,430,430,430,430,60,0,200.0,231.67332845002875,77.737389000049,432.9155919999721,629.1
1787652357,80,,Aggregated,19.000000,0.000000,200,230,330,350,430,450,470,480,480,480,480,80,0,200.0,239.55057945002523,77.737389000049,478.4368330001598,628.825
1787652358,100,,Aggregated,20.000000,0.000000,210,290,340,350,450,480,490,520,520,520,520,100,0,210.0,251.64398425001764,57.35592100018039,519.7106159998839,628.66
1787652359,120,,Aggregated,18.250000,0.000000,220,320,350,420,470,480,520,610,610,610,610,120,0,220.0,269.4912366916886,57.35592100018039,611.9227650001449,628.55
1787652360,140,,Aggregated,18.600000,0.000000,220,300,350,390,450,480,520,610,610,610,610,140,0,210.0,262.76243430001745,57.35592100018039,611.9227650001449,628.4714285714285
1787652361,160,,Aggregated,18.500000,0.000000,230,310,350,390,460,480,490,610,610,610,610,160,0,230.0,268.1851406187604,57.35592100018039,611.9227650001449,628.61875
1787652362,180,,Aggregated,19.571429,0.000000,230,310,350,380,450,470,490,610,610,610,610,180,0,230.0,267.03653626112396,57.35592100018039,611.9227650001449,628.7333333333333
1787652363,200,,Aggregated,18.625000,0.000000,230,310,350,380,450,470,490,610,610,610,610,200,0,230.0,265.94309912501785,57.35592100018039,611.9227650001449,628.66
1787652364,200,,Aggregated,18.625000,0.000000,230,310,350,380,450,470,490,610,610,610,610,200,0,230.0,265.94309912501785,57.35592100018039,611.9227650001449,628.66
1787652365,200,,Aggregated,18.625000,0.000000,230,310,350,380,450,470,490,610,610,610,610,200,0,230.0,265.94309912501785,57.35592100018039,611.9227650001449,628.66
1787652366,200,,Aggregated,18.625000,0.000000,230,310,350,380,450,470,490,610,610,610,610,200,0,230.0,265.94309912501785,57.35592100018039,611.9227650001449,628.66
1787652367,200,,Aggregated,18.625000,0.000000,230,310,350,380,450,470,490,610,610,610,610,200,0,230.0,265.94309912501785,57.35592100018039,611.9227650001449,628.66
1787652368,200,,Aggregated,18.625000,0.000000,230,310,350,380,450,470,490,610,610,610,610,200,0,230.0,265.94309912501785,57.35592100018039,611.9227650001449,628.66
1787652369,200,,Aggregated,18.625000,0.000000,230,310,350,380,450,470,490,610,610,610,610,200,0,230.0,265.94309912501785,57.35592100018039,611.9227650001449,628.66
1787652370,200,,Aggregated,18.625000,0.000000,230,310,350,380,450,470,490,610,610,610,610,200,0,230.0,265.94309912501785,57.35592100018039,611.9227650001449,628.66
1787652371,200,,Aggregated,18.625000,0.000000,230,310,350,380,450,470,490,610,610,610,610,200,0,230.0,265.94309912501785,57.35592100018039,611.9227650001449,628.66
1787652371,200,,Aggregated,18.625000,0.000000,230,310,350,380,450,470,490,610,610,610,610,200,0,230.0,265.94309912501785,57.35592100018039,611.9227650001449,628.66
1787652372,200,,Aggregated,18.625000,0.000000,230,310,350,380,450,470,490,610,610,610,610,200,0,230.0,265.94309912501785,57.35592100018039,611.9227650001449,628.66
1787652373,200,,Aggregated,18.625000,0.000000,230,310,350,380,450,470,490,610,610,610,610,200,0,230.0,265.94309912501785,57.35592100018039,611.9227650001449,628.66
1787652374,200,,Aggregated,18.625000,0.000000,230,310,350,380,450,470,490,610,610,610,610,200,0,230.0,265.94309912501785,57.35592100018039,611.9227650001449,628.66
1787652375,200,,Aggregated,18.625000,0.000000,230,310,350,380,450,470,490,610,610,610,610,200,0,230.0,265.94309912501785,57.35592100018039,611.9227650001449,628.66
1787652376,200,,Aggregated,18.625000,0.000000,230,310,350,380,450,470,490,610,610,610,610,200,0,230.0,265.94309912501785,57.35592100018039,611.9227650001449,628.66
1787652377,200,,Aggregated,18.625000,0.000000,230,310,350,380,450,470,490,610,610,610,610,200,0,230.0,265.94309912501785,57.35592100018039,611.9227650001449,628.66
1787652378,200,,Aggregated,18.625000,0.000000,230,310,350,380,450,470,490,610,610,610,610,200,0,230.0,265.94309912501785,57.35592100018039,611.9227650001449,628.66
1787652379,200,,Aggregated,18.625000,0.000000,230,310,350,380,450,470,490,610,610,610,610,200,0,230.0,265.94309912501785,57.35592100018039,611.9227650001449,628.66
1787652380,200,,Aggregated,18.625000,0.000000,230,310,350,380,450,470,490,610,610,610,610,200,0,230.0,265.94309912501785,57.35592100018039,611.9227650001449,628.66
1787652381,200,,Aggregated,18.625000,0.000000,230,310,350,380,450,470,490,610,610,610,610,200,0,230.0,265.94309912501785,57.35592100018039,611.9227650001449,628.66
1787652382,200,,Aggregated,18.625000,0.000000,230,310,350,380,450,470,490,610,610,610,610,200,0,230.0,265.94309912501785,57.35592100018039,611.9227650001449,628.66
1787652383,200,,Aggregated,18.625000,0.000000,230,310,350,380,450,470,490,610,610,610,610,200,0,230.0,265.94309912501785,57.35592100018039,611.9227650001449,628.66
